a_main mid_to_a
6 0.8
839.041138 152.728394 144.031250 0.687356 111.212074 0.000000
-474.949341 748.061340 104.156143 -0.794902 1.038997 0.000000 False
93.831245 582.029663 80.104813 -1.603406 87.221367 0.000000 False
-738.894470 1413.210449 71.435989 -0.275149 -44.043667 0.000000 False
-646.968750 1771.968750 29.219551 -2.180902 -61.536324 0.000000 False
-66.031250 1771.968750 34.096466 -2.142407 -98.169083 0.000000 False
-66.031250 1290.031250 29.838333 -7.185898 -111.721115 0.000000 True
-70.030273 1018.031250 69.031250 0.096247 -172.633881 0.000000 False
-1044.081177 1001.694275 66.246353 0.019250 1.270885 0.000000 False
-1857.817505 808.231567 51.031250 -0.217399 14.615457 0.000000 False
-1859.742310 975.988953 51.031250 -1.443760 -0.075595 0.000000 False
-1280.027588 1122.031250 97.595413 2.887497 100.313217 0.000000 False
-1044.085083 670.031250 80.031250 2.271486 88.956017 0.000000 False
-1207.439575 -358.905640 102.680573 2.271486 102.142250 0.000000 False
-1668.031250 464.031250 168.595078 15.476955 77.593361 0.000000 False
-2009.316772 195.020798 71.031250 1.501470 77.780006 0.000000 False
