b_house_to_b a_retake a_main
5 0.8
-1223.702148 -1127.313843 56.856625 -4.267993 62.830376 0.000000
-143.964905 -208.968994 67.031219 0.833398 -145.737411 0.000000 False
52.944427 -693.174194 154.603928 5.819167 -171.898254 0.000000 False
-284.031250 -806.031250 32.880241 0.255904 -176.543518 0.000000 False
64.031250 -875.844604 152.031250 5.106910 178.899948 0.000000 False
-452.884277 302.028107 160.842377 6.300384 -105.769211 0.000000 False
-482.897461 651.536377 139.088791 4.471631 -99.642090 0.000000 False
-704.222046 -116.085083 59.031609 2.219381 -88.708206 0.000000 False
-140.031250 -293.920471 65.289429 1.353135 -175.929779 0.000000 False
-938.451233 -116.031250 92.999557 5.260877 -43.432056 0.000000 False
-1551.197998 8.768470 102.585403 2.893132 -17.982710 0.000000 False
-1586.946533 -309.009399 102.133118 1.949883 8.428261 0.000000 False
-1463.680664 212.777985 127.707779 3.528388 -42.532265 0.000000 False
-1202.028198 26.345079 102.506424 2.142395 -55.833992 0.000000 False
-1201.238525 -359.924744 102.881622 2.084646 55.392536 0.000000 False
-1623.961914 1187.809570 51.031250 -2.323610 -73.857834 0.000000 False
-1257.482178 952.112183 53.031250 -2.400615 -94.166748 0.000000 False
-1777.719360 1031.547974 51.031250 -1.996353 -58.034222 0.000000 False
-951.295654 1158.460815 69.528351 -0.879860 -116.246315 0.000000 False
-1070.613159 632.219788 110.378784 4.779618 -146.437820 0.000000 False
-2059.408447 1099.247192 115.031250 0.808502 -44.268764 0.000000 True
