b_retake
5 0.6
-716.845947 506.598236 34.590645 -0.616002 29.972166 0.000000
153.716934 989.059631 80.875122 8.527802 -156.277222 0.000000 False
291.752869 660.615356 14.050919 -3.811431 158.177307 0.000000 False
1322.031250 419.614563 127.778564 3.927076 165.126328 0.000000 False
945.972046 351.932098 93.684631 1.751840 155.571899 0.000000 False
246.044022 1390.610962 107.655548 2.675922 -113.658562 0.000000 False
389.898804 1843.896606 225.031250 7.854322 -110.765556 0.000000 False
43.717823 438.031067 81.031250 0.096585 91.475044 0.000000 False
411.808105 2119.380127 138.294052 2.637589 -106.434418 0.000000 False
50.027428 1382.446777 101.067810 1.463323 -88.941681 0.000000 False
275.968750 1377.979980 110.255280 2.887816 -126.203896 0.000000 False
513.043579 2119.972168 138.255219 2.252579 -114.640427 0.000000 False
-53.968750 1419.971313 103.031235 1.867576 -43.530499 0.000000 False
256.508667 1239.247925 107.488800 5.063085 179.525330 0.000000 False
-53.968750 1332.059448 103.031235 0.808834 -6.377340 0.000000 False
738.939209 2198.424072 135.031296 0.982082 -136.262894 0.000000 False
926.968750 2093.899902 130.789139 0.674082 -156.654434 0.000000 False
732.435913 1880.031250 210.045044 13.309035 -177.502075 0.000000 False
457.267120 1833.311401 135.031219 0.430759 147.520737 0.000000 False
1038.889893 1852.027954 143.031250 0.835022 167.675522 0.000000 False
748.031250 1880.031250 137.078156 -0.127482 94.924171 0.000000 True
863.968750 2373.821777 137.551147 0.488514 -127.919548 0.000000 False
946.098633 2779.968750 131.839951 -0.685731 -111.922943 0.000000 False
813.968750 2911.574951 144.448715 -1.166983 -98.890869 0.000000 True
682.492981 2645.328369 136.968430 -0.435484 -89.637512 0.000000 False
530.816833 3115.971191 209.624390 2.702259 -77.485016 0.000000 False
416.894592 3212.869385 161.860657 0.988986 -70.016121 0.000000 False
4.433489 3244.972412 160.031250 0.461999 -48.532429 0.000000 False
136.531250 3154.968750 299.031250 8.893483 -51.148361 0.000000 False
564.741028 2620.381592 160.040009 3.253232 -58.367184 0.000000 False
1.031249 3031.673828 160.031250 1.077999 -32.035103 0.000000 False
1.255079 2721.782959 160.031250 1.559247 -13.285501 0.000000 False
523.587891 2439.031250 278.031250 24.197275 -4.161095 0.000000 False
18.900400 2557.452393 160.031250 1.462995 2.659103 0.000000 False
1199.678589 2845.157227 127.197693 -0.115514 -146.721039 0.000000 False
1567.921509 2940.427002 129.844116 -0.616014 -156.134338 0.000000 False
1079.576660 2648.029053 241.998901 18.287495 -175.917480 0.000000 False
371.561859 2471.802979 280.031250 13.975492 35.164268 0.000000 True
1.458293 2448.027832 160.031250 1.636255 14.451179 0.000000 False
498.970276 2439.031250 165.031250 0.596758 89.896538 0.000000 False
340.968750 2439.029785 165.537781 0.635215 79.622650 0.000000 False
675.031250 3593.968750 136.915070 -2.079047 -114.288315 0.000000 False
27.015730 2611.692871 160.031250 0.442702 54.707211 0.000000 False
59.468750 3244.968750 159.876587 0.173195 -73.478630 0.000000 False
